representative_member,split_entries,standard_names,suppliers,functional_roles,examples,is_active,is_structural,relation_to_representative
Lithium Chloride,Lithium Chloride,['Lithium Chloride'],[],['Mineral Salt'],[],False,True,Lithium Chloride is a mineral salt used as a structural component.
Vitreoscilla Ferment,vitreoscilla ferment,['Vitreoscilla Ferment'],[],['skin conditioning agent'],[],True,False,Vitreoscilla Ferment is used as a skin conditioning agent.
Carbomer,crosslinked acrylic acid homopolymer,"['Acrylic Acid Homopolymer', 'Carbomer']",[],"['emulsion stabilizer', 'viscosity modifier']","['an allyl ether of propylene', 'an allyl ether of sucrose', 'homopolymer of acrylic acid crosslinked with an allyl ether of pentaerythritol']",False,True,Crosslinked acrylic acid homopolymer is a form of Carbomer used for its thickening properties.
mineral salt,mineral salt,[],[],['viscosity modifier'],"['lithium chloride', 'magnesium sulfate']",False,True,General category of salts used in formulations
Calcium Salts,Calcium Chloride,['Calcium Chloride'],[],['Mineral Salt'],"['calcium hydrogen carbonate', 'calcium sulfate', 'lithium sulfate', 'sodium carbonate', 'potassium carbonate', 'sodium chloride', 'potassium nitrate', 'calcium chloride', 'potassium hydrogen carbonate', 'calcium carbonate', 'sodium nitrate', 'calcium nitrate', 'sodium hydrogen carbonate', 'potassium sulfate', 'lithium hydrogen carbonate', 'sodium sulfate', 'lithium carbonate', 'lithium chloride', 'magnesium chloride', 'potassium chloride', 'lithium nitrate', 'magnesium sulfate']",False,True,"Calcium Chloride is a type of calcium salt used for various purposes, including as a mineral salt."
Xanthan Gum,Xanthan Gum,['Xanthan Gum'],[],"['viscosity modifier', 'emulsion stabilizer']",[],False,True,Xanthan Gum is used as a viscosity modifier and emulsion stabilizer in formulations.
water insoluble active ingredient,vitreoscilla ferment,['vitreoscilla ferment'],[],['active ingredient'],['vitreoscilla ferment'],True,False,Vitreoscilla ferment is a type of water insoluble active ingredient used for its beneficial properties in skincare formulations.
water insoluble active ingredient,silica,['silica'],[],['active ingredient'],['silica'],True,False,Silica is a water insoluble active ingredient often used for its texturizing and absorbent properties in cosmetic formulations.
water insoluble active ingredient,boron nitride,['boron nitride'],[],['active ingredient'],['boron nitride'],True,False,Boron nitride is a water insoluble active ingredient known for its lubricating and soft-focus effects in cosmetic products.
Crosslinked Acrylic Acid Homopolymer,acrylic acid homopolymer crosslinked with an allyl ether of pentaerythritol,['Crosslinked Acrylic Acid Homopolymer'],[],['viscosity modifier'],"['allyl ether of sucrose', 'allyl ether of propylene']",False,True,"This ingredient is a type of crosslinked acrylic acid homopolymer, specifically modified with an allyl ether of pentaerythritol to enhance its properties."
Alginate Derivatives,Sodium Alginate,['Sodium Alginate'],[],"['Viscosity Modifier', 'Emulsion Stabilizer']",['Sodium Alginate'],False,True,Sodium Alginate is a specific salt form of alginic acid used primarily for its viscosity modifying properties.
Alginate Derivatives,Ammonium Alginate,['Ammonium Alginate'],[],"['Viscosity Modifier', 'Emulsion Stabilizer']",['Ammonium Alginate'],False,True,Ammonium Alginate is a specific salt form of alginic acid used primarily for its viscosity modifying properties.
Alginate Derivatives,Potassium Alginate,['Potassium Alginate'],[],"['Viscosity Modifier', 'Emulsion Stabilizer']",['Potassium Alginate'],False,True,Potassium Alginate is a specific salt form of alginic acid used primarily for its viscosity modifying properties.
Alginate Derivatives,Alginic Acid,['Alginic Acid'],[],"['Viscosity Modifier', 'Emulsion Stabilizer']",['Alginic Acid'],False,True,Alginic Acid is the base compound from which various alginate salts are derived.
Alginic Acid,Alginic Acid and Alginates,['Alginic Acid'],[],['Emulsion Stabilizer'],[],False,True,Alginic Acid is the base component from which various alginates are derived.
Sodium Alginate,Alginic Acid and Alginates,['Sodium Alginate'],[],['Emulsion Stabilizer'],[],False,True,"Sodium Alginate is a salt form derived from Alginic Acid, used for its stabilizing properties."
Ammonium Alginate,Alginic Acid and Alginates,['Ammonium Alginate'],[],['Emulsion Stabilizer'],[],False,True,"Ammonium Alginate is another salt form derived from Alginic Acid, used for similar purposes."
Potassium Alginate,Alginic Acid and Alginates,['Potassium Alginate'],[],['Emulsion Stabilizer'],[],False,True,"Potassium Alginate is a potassium salt derived from Alginic Acid, used for its gelling properties."
